Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
2,1667471577839,03/11/2022 10:32:57,1667471576660,1,03/11/2022 11:32:56,102467,5,task-4atu,,24975000,18,7339234,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,preTest,1,,,,preTest,178,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,4545,,,Yes,1,0,1,0,,,,,,preTest,
3,1667471578823,03/11/2022 10:32:58,1667471578235,1,03/11/2022 11:32:58,102467,5,task-4atu,,24975000,18,7339234,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,preTest,1,,,,preTest,178,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,6119.600000143051,,,,,0,1,0,,,,,,preTest,
4,1667471578937,03/11/2022 10:32:58,1667471578237,1,03/11/2022 11:32:58,102467,5,task-4atu,,24975000,18,7339234,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,preTest,1,,,,preTest,178,Spreadsheet1,,,END TASK,,,,,6160,,,,,0,1,0,,,,,,,
1,1667470547594,03/11/2022 10:15:47,1667470547375,1,03/11/2022 11:15:47,102467,5,task-4atu,,24974540,47,7369223,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x797,,preTest,1,,,,preTest,173,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667470550511,03/11/2022 10:15:50,1667470550336,1,03/11/2022 11:15:50,102467,5,task-4atu,,24974540,47,7369223,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x797,,preTest,1,,,,preTest,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,2920,,,Yes,1,0,1,0,,,,,,preTest,
3,1667470552489,03/11/2022 10:15:52,1667470552323,1,03/11/2022 11:15:52,102467,5,task-4atu,,24974540,47,7369223,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x797,,preTest,1,,,,preTest,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,4907,,,,,0,1,0,,,,,,preTest,
4,1667470552668,03/11/2022 10:15:52,1667470552326,1,03/11/2022 11:15:52,102467,5,task-4atu,,24974540,47,7369223,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x797,,preTest,1,,,,preTest,173,Spreadsheet1,,,END TASK,,,,,4951,,,,,0,1,0,,,,,,,
1,1667466572694,03/11/2022 09:09:32,1667466624319,1,03/11/2022 10:10:24,102467,5,task-4atu,,24973270,46,7369222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1500x1000,1500x857,,preTest,1,,,,preTest,157,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667466594272,03/11/2022 09:09:54,1667466645918,1,03/11/2022 10:10:45,102467,5,task-4atu,,24973270,46,7369222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1500x1000,1500x857,,preTest,1,,,,preTest,157,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,21534.899999976158,,,Yes,1,0,1,0,,,,,,preTest,
3,1667466595671,03/11/2022 09:09:55,1667466647339,1,03/11/2022 10:10:47,102467,5,task-4atu,,24973270,46,7369222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1500x1000,1500x857,,preTest,1,,,,preTest,157,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,22956.399999976158,,,,,0,1,0,,,,,,preTest,
4,1667466595792,03/11/2022 09:09:55,1667466647342,1,03/11/2022 10:10:47,102467,5,task-4atu,,24973270,46,7369222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1500x1000,1500x857,,preTest,1,,,,preTest,157,Spreadsheet1,,,END TASK,,,,,23023,,,,,0,1,0,,,,,,,
1,1667464027783,03/11/2022 08:27:07,1667464027673,1,03/11/2022 09:27:07,102467,5,task-4atu,,24972574,14,7339228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.6.1,834x1112,1112x731,,preTest,1,,,,preTest,173,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667464031884,03/11/2022 08:27:11,1667464031823,1,03/11/2022 09:27:11,102467,5,task-4atu,,24972574,14,7339228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.6.1,834x1112,1112x731,,preTest,1,,,,preTest,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,4122,,,Yes,1,0,1,0,,,,,,preTest,
3,1667464061611,03/11/2022 08:27:41,1667464061527,1,03/11/2022 09:27:41,102467,5,task-4atu,,24972574,14,7339228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.6.1,834x1112,1112x731,,preTest,1,,,,preTest,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,33823,,,,,0,1,0,,,,,,preTest,
4,1667464061717,03/11/2022 08:27:41,1667464061530,1,03/11/2022 09:27:41,102467,5,task-4atu,,24972574,14,7339228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.6.1,834x1112,1112x731,,preTest,1,,,,preTest,173,Spreadsheet1,,,END TASK,,,,,33857,,,,,0,1,0,,,,,,,
1,1667462357289,03/11/2022 07:59:17,1667462363852,1,03/11/2022 08:59:23,102467,5,task-4atu,,24971166,13,7339230,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.47,1280x720,1280x601,,preTest,1,,onlineFirst,168,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667462368332,03/11/2022 07:59:28,1667462372571,1,03/11/2022 08:59:32,102467,5,task-4atu,,24971166,13,7339230,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.47,1280x720,1280x601,,preTest,1,,onlineFirst,168,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_text,8664.799999952316,,,No,1,0,1,0,,,,,,preTest,
3,1667462369602,03/11/2022 07:59:29,1667462376219,1,03/11/2022 08:59:36,102467,5,task-4atu,,24971166,13,7339230,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.47,1280x720,1280x601,,preTest,1,,onlineFirst,168,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,12312.700000047684,,,,,0,1,0,,,,,,preTest,
4,1667462369683,03/11/2022 07:59:29,1667462376222,1,03/11/2022 08:59:36,102467,5,task-4atu,,24971166,13,7339230,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.47,1280x720,1280x601,,preTest,1,,onlineFirst,168,no_preTest,,Spreadsheet1,,,END TASK,,,,,12370,,,,,0,1,0,,,,,,,
1,1667404067793,02/11/2022 15:47:47,1667404069348,1,02/11/2022 16:47:49,102467,5,task-4atu,,24957406,12,7339227,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x760,,preTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667404070491,02/11/2022 15:47:50,1667404072104,1,02/11/2022 16:47:52,102467,5,task-4atu,,24957406,12,7339227,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x760,,preTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_text,2709.10000000149,,,No,1,0,1,0,,,,,,preTest,
3,1667404071779,02/11/2022 15:47:51,1667404073392,1,02/11/2022 16:47:53,102467,5,task-4atu,,24957406,12,7339227,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x760,,preTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,3996.60000000149,,,,,0,1,0,,,,,,preTest,
4,1667404071855,02/11/2022 15:47:51,1667404073397,1,02/11/2022 16:47:53,102467,5,task-4atu,,24957406,12,7339227,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x760,,preTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,4049,,,,,0,1,0,,,,,,,
1,1667403396650,02/11/2022 15:36:36,1667403397917,1,02/11/2022 16:36:37,102467,5,task-4atu,,24957168,11,7339226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x625,,preTest,1,,,,preTest,183,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667403399003,02/11/2022 15:36:39,1667403400327,1,02/11/2022 16:36:40,102467,5,task-4atu,,24957168,11,7339226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x625,,preTest,1,,,,preTest,183,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,2231.2000000000116,,,Yes,1,0,1,0,,,,,,preTest,
3,1667403400922,02/11/2022 15:36:40,1667403402238,1,02/11/2022 16:36:42,102467,5,task-4atu,,24957168,11,7339226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x625,,preTest,1,,,,preTest,183,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,4142.399999999994,,,,,0,1,0,,,,,,preTest,
4,1667403400998,02/11/2022 15:36:40,1667403402243,1,02/11/2022 16:36:42,102467,5,task-4atu,,24957168,11,7339226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x625,,preTest,1,,,,preTest,183,Spreadsheet1,,,END TASK,,,,,4327,,,,,0,1,0,,,,,,,
1,1667401363242,02/11/2022 15:02:43,1667401364088,1,02/11/2022 16:02:44,102467,5,task-4atu,,24956395,45,7369219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x754,,preTest,1,,,,preTest,173,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667401372724,02/11/2022 15:02:52,1667401373483,1,02/11/2022 16:02:53,102467,5,task-4atu,,24956395,45,7369219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1519x754,,preTest,1,,,,preTest,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,9268.200000000186,,,Yes,1,0,1,0,,,,,,preTest,
