Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
2,1667561170246,04/11/2022 11:26:10,1667561169956,1,04/11/2022 12:26:09,102467,5,task-ysdh,,24995322,32,7339247,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x735,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,174775,,,,,0,1,0,,,,,,title,
3,1667561172729,04/11/2022 11:26:12,1667561172682,1,04/11/2022 12:26:12,102467,5,task-ysdh,,24995322,32,7339247,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x735,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,2698,,,,,0,1,0,,,,,,va,
4,1667561173878,04/11/2022 11:26:13,1667561173796,1,04/11/2022 12:26:13,102467,5,task-ysdh,,24995322,32,7339247,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x735,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1104,,,,,0,1,0,,,,,,cs,
5,1667561177811,04/11/2022 11:26:17,1667561177765,1,04/11/2022 12:26:17,102467,5,task-ysdh,,24995322,32,7339247,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x735,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,3958,,,,,0,1,0,,,,,,end,
6,1667561177879,04/11/2022 11:26:17,1667561177769,1,04/11/2022 12:26:17,102467,5,task-ysdh,,24995322,32,7339247,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x735,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,216931,,,,,0,1,0,,,,,,,
1,1667552822345,04/11/2022 09:07:02,1667552822221,1,04/11/2022 10:07:02,102467,5,task-ysdh,,24992701,9,7339225,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1680x1050,1680x970,,chartTest,2,157,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667553048001,04/11/2022 09:10:48,1667553047718,1,04/11/2022 10:10:47,102467,5,task-ysdh,,24992701,9,7339225,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1680x1050,1680x970,,chartTest,2,157,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,225492,,,,,0,1,0,,,,,,title,
3,1667553053160,04/11/2022 09:10:53,1667553053099,1,04/11/2022 10:10:53,102467,5,task-ysdh,,24992701,9,7339225,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1680x1050,1680x970,,chartTest,2,157,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,5365.999999999971,,,,,0,1,0,,,,,,va,
4,1667553054508,04/11/2022 09:10:54,1667553054449,1,04/11/2022 10:10:54,102467,5,task-ysdh,,24992701,9,7339225,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1680x1050,1680x970,,chartTest,2,157,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1340.999999999971,,,,,0,1,0,,,,,,cs,
5,1667553056894,04/11/2022 09:10:56,1667553056849,1,04/11/2022 10:10:56,102467,5,task-ysdh,,24992701,9,7339225,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1680x1050,1680x970,,chartTest,2,157,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,2393,,,,,0,1,0,,,,,,end,
6,1667553056982,04/11/2022 09:10:56,1667553056853,1,04/11/2022 10:10:56,102467,5,task-ysdh,,24992701,9,7339225,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1680x1050,1680x970,,chartTest,2,157,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,234632,,,,,0,1,0,,,,,,,
1,1667551114368,04/11/2022 08:38:34,1667551114956,1,04/11/2022 09:38:34,102467,5,task-ysdh,,24992511,29,7339248,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1620x1080,1620x969,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667551395182,04/11/2022 08:43:15,1667551396211,1,04/11/2022 09:43:16,102467,5,task-ysdh,,24992511,29,7339248,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1620x1080,1620x969,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,280704.0999999996,,,,,0,1,0,,,,,,title,
3,1667551396973,04/11/2022 08:43:16,1667551398090,1,04/11/2022 09:43:18,102467,5,task-ysdh,,24992511,29,7339248,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1620x1080,1620x969,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,1849.9000000003725,,,,,0,1,0,,,,,,va,
4,1667551398628,04/11/2022 08:43:18,1667551399767,1,04/11/2022 09:43:19,102467,5,task-ysdh,,24992511,29,7339248,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1620x1080,1620x969,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1666.7999999998137,,,,,0,1,0,,,,,,cs,
5,1667551400106,04/11/2022 08:43:20,1667551401224,1,04/11/2022 09:43:21,102467,5,task-ysdh,,24992511,29,7339248,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1620x1080,1620x969,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,1448.2999999998137,,,,,0,1,0,,,,,,end,
6,1667551400189,04/11/2022 08:43:20,1667551401228,1,04/11/2022 09:43:21,102467,5,task-ysdh,,24992511,29,7339248,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1620x1080,1620x969,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,286272,,,,,0,1,0,,,,,,,
1,1667476948146,03/11/2022 12:02:28,1667476948038,1,03/11/2022 13:02:28,102467,5,task-ysdh,,24977015,21,7339237,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x817,,chartTest,2,173,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667477113110,03/11/2022 12:05:13,1667477112876,1,03/11/2022 13:05:12,102467,5,task-ysdh,,24977015,21,7339237,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x817,,chartTest,2,173,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,164827,,,,,0,1,0,,,,,,title,
3,1667477115179,03/11/2022 12:05:15,1667477115076,1,03/11/2022 13:05:15,102467,5,task-ysdh,,24977015,21,7339237,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x817,,chartTest,2,173,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,2182.000000000029,,,,,0,1,0,,,,,,va,
4,1667477116409,03/11/2022 12:05:16,1667477116330,1,03/11/2022 13:05:16,102467,5,task-ysdh,,24977015,21,7339237,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x817,,chartTest,2,173,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1243,,,,,0,1,0,,,,,,cs,
5,1667477125513,03/11/2022 12:05:25,1667477125448,1,03/11/2022 13:05:25,102467,5,task-ysdh,,24977015,21,7339237,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x817,,chartTest,2,173,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,9109,,,,,0,1,0,,,,,,end,
